shape,depth_in,width_in,t_in,weight_lb_ft,area_in2,Ix_in4,Sx_in3,rx_in,Zx_in3,Iy_in4,Sy_in3,ry_in,Zy_in3,J_in4,C_in3,surface_area_ft2_ft,source_pdf,page
HSS24x12x1,24,12,1.000,222.63,65.4,4590,383,8.38,488,1540,257,4.85,299,3850,502,5.71,catalogo_AISC.pdf,2
HSS24x12x7/8,24,12,0.875,197.24,58.0,4140,345,8.45,436,1390,232,4.90,268,3460,448,5.75,catalogo_AISC.pdf,2
HSS24x12x3/4,24,12,0.750,171.16,50.3,3650,304,8.52,382,1240,207,4.96,235,3030,391,5.79,catalogo_AISC.pdf,2
HSS24x12x5/8,24,12,0.625,144.39,42.4,3130,261,8.59,325,1070,178,5.01,201,2590,331,5.82,catalogo_AISC.pdf,2
HSS24x12x1/2,24,12,0.500,116.91,34.4,2580,215,8.67,266,883,147,5.07,164,2120,270,5.86,catalogo_AISC.pdf,2
HSS24x12x3/8,24,12,0.375,88.73,26.1,1990,166,8.74,203,685,114,5.12,126,1620,206,5.89,catalogo_AISC.pdf,2
HSS24x8x1/2,24,8,0.500,103.30,30.4,2030,169,8.17,219,357,89.3,3.43,99.7,1020,176,5.19,catalogo_AISC.pdf,2
HSS24x8x3/8,24,8,0.375,78.52,23.1,1570,131,8.25,168,280,70.0,3.48,77.1,789,135,5.23,catalogo_AISC.pdf,2
HSS24x8x5/16,24,8,0.313,65.87,19.4,1330,111,8.29,142,239,59.8,3.51,65.3,669,114,5.24,catalogo_AISC.pdf,2
HSS24x8x1/4,24,8,0.250,53.05,15.6,1080,90.2,8.33,115,195,48.8,3.54,52.9,543,92.0,5.26,catalogo_AISC.pdf,2
HSS22x20x3/4,22,20,0.750,201.79,59.3,4290,390,8.51,461,3710,371,7.91,432,6320,612,6.79,catalogo_AISC.pdf,2
HSS22x20x5/8,22,20,0.625,169.91,49.9,3670,333,8.57,391,3170,317,7.97,366,5350,517,6.82,catalogo_AISC.pdf,2
HSS22x20x1/2,22,20,0.500,137.32,40.4,3010,273,8.63,318,2600,260,8.03,298,4350,419,6.86,catalogo_AISC.pdf,2
HSS22x20x3/8,22,20,0.375,104.04,30.6,2310,210,8.69,243,2000,200,8.09,228,3310,318,6.89,catalogo_AISC.pdf,2
HSS22x20x5/16,22,20,0.313,87.14,25.6,1950,177,8.72,204,1690,169,8.11,192,2780,267,6.91,catalogo_AISC.pdf,2
HSS22x18x3/4,22,18,0.750,191.58,56.3,3960,360,8.38,429,2900,322,7.18,374,5340,548,6.45,catalogo_AISC.pdf,2
HSS22x18x5/8,22,18,0.625,161.40,47.4,3380,307,8.44,364,2490,277,7.24,318,4530,463,6.49,catalogo_AISC.pdf,2
HSS22x18x1/2,22,18,0.500,130.52,38.4,2780,252,8.51,297,2040,227,7.30,259,3680,376,6.52,catalogo_AISC.pdf,2
HSS22x18x3/8,22,18,0.375,98.94,29.1,2130,194,8.57,227,1570,174,7.36,198,2810,286,6.56,catalogo_AISC.pdf,2
HSS22x18x5/16,22,18,0.313,82.88,24.4,1800,164,8.60,191,1330,148,7.39,167,2360,240,6.58,catalogo_AISC.pdf,2
HSS22x16x3/4,22,16,0.750,181.37,53.3,3620,329,8.24,397,2210,276,6.44,319,4400,484,6.12,catalogo_AISC.pdf,2
HSS22x16x5/8,22,16,0.625,152.89,44.9,3100,282,8.30,337,1900,238,6.50,271,3740,410,6.15,catalogo_AISC.pdf,2
HSS22x16x1/2,22,16,0.500,123.71,36.4,2540,231,8.37,275,1560,195,6.56,222,3050,333,6.19,catalogo_AISC.pdf,2
HSS22x16x3/8,22,16,0.375,93.83,27.6,1960,178,8.43,210,1210,151,6.61,170,2330,253,6.23,catalogo_AISC.pdf,2
HSS22x16x5/16,22,16,0.313,78.63,23.1,1660,151,8.46,177,1020,128,6.64,143,1960,213,6.24,catalogo_AISC.pdf,2
HSS22x16x1/4,22,16,0.250,63.25,18.6,1340,122,8.49,143,827,103,6.67,115,1580,171,6.26,catalogo_AISC.pdf,2
